cor, best_epoch, model, layer_num, hidden_chanel, word, category, city, pref, station, spot
0.81583,41,deeptour,3,512,True,False,True,False,False,200,0.5
0.81129,37,deeptour,3,512,True,False,True,False,False,200,0.5
0.81897,45,deeptour,3,512,True,False,True,False,False,500,0.05
0.81338,40,deeptour,3,512,True,False,True,False,False,500,0.05
0.81382,35,deeptour,3,512,True,False,True,False,False,500,0.05
0.81497,40,deeptour,3,512,True,False,True,False,False,500,0.1
0.81188,35,deeptour,3,512,True,False,True,False,False,500,0.1
0.81119,37,deeptour,3,512,True,False,True,False,False,500,0.1
0.81634,35,deeptour,3,512,True,False,True,False,False,500,0.2
0.81022,37,deeptour,3,512,True,False,True,False,False,500,0.2
0.81466,38,deeptour,3,512,True,False,True,False,False,500,0.2
0.81209,36,deeptour,3,512,True,False,True,False,False,500,0.5
0.8155,47,deeptour,3,512,True,False,True,False,False,500,0.5
0.81476,43,deeptour,3,512,True,False,True,False,False,500,0.5
0.8148,36,deeptour,3,512,True,False,True,False,False,50,0.05
0.81537,33,deeptour,3,512,True,False,True,False,False,50,0.05
0.81393,45,deeptour,3,512,True,False,True,False,False,50,0.05
0.8112,36,deeptour,3,512,True,False,True,False,False,50,0.1
0.81471,37,deeptour,3,512,True,False,True,False,False,50,0.1
0.81482,51,deeptour,3,512,True,False,True,False,False,50,0.05,gcn
0.81267,39,deeptour,3,512,True,False,True,False,False,50,0.1
0.81271,40,deeptour,3,512,True,False,True,False,False,50,0.05,gcn
0.81369,38,deeptour,3,512,True,False,True,False,False,50,0.2
0.81062,40,deeptour,3,512,True,False,True,False,False,50,0.05,gcn
0.81594,36,deeptour,3,512,True,False,True,False,False,50,0.2
0.80984,45,deeptour,3,512,True,False,True,False,False,50,0.05,sage
0.8183,39,deeptour,3,512,True,False,True,False,False,50,0.2
0.81328,39,deeptour,3,512,True,False,True,False,False,50,0.05,sage
0.81647,43,deeptour,3,512,True,False,True,False,False,50,0.5
0.81513,39,deeptour,3,512,True,False,True,False,False,50,0.05,sage
0.81133,41,deeptour,3,512,True,False,True,False,False,50,0.5
0.81068,32,deeptour,3,512,True,False,True,False,False,50,0.05,gat
0.8125,37,deeptour,3,512,True,False,True,False,False,50,0.5
0.81066,38,deeptour,3,512,True,False,True,False,False,50,0.05,gat
0.80845,28,deeptour,3,512,True,False,True,False,False,100,0.05
0.81693,40,deeptour,3,512,True,False,True,False,False,50,0.05,gat
0.81358,37,deeptour,3,512,True,False,True,False,False,100,0.05
0.8149,37,deeptour,3,512,True,False,True,False,False,100,0.05
0.81471,40,deeptour,3,512,True,False,True,False,False,100,0.1
0.81457,36,deeptour,3,512,True,False,True,False,False,100,0.1
0.8141,35,deeptour,3,512,True,False,True,False,False,100,0.1
0.8117,32,deeptour,3,512,True,False,True,False,False,100,0.2
0.81411,41,deeptour,3,512,True,False,True,False,False,100,0.2
0.81513,35,deeptour,3,512,True,False,True,False,False,100,0.2
0.81411,44,deeptour,3,512,True,False,True,False,False,100,0.5
0.81527,31,deeptour,3,512,True,False,True,False,False,100,0.5
0.81461,38,deeptour,3,512,True,False,True,False,False,100,0.5
0.81328,43,deeptour,3,512,True,False,True,False,False,50,0.05,gcn
0.81691,41,deeptour,3,512,True,False,True,False,False,50,0.05,gcn
0.80971,38,deeptour,3,512,True,False,True,False,False,50,0.05,gcn
0.81535,42,deeptour,3,512,True,False,True,False,False,50,0.05,sage
0.81553,28,deeptour,3,512,True,False,True,False,False,50,0.05,sage
0.81337,37,deeptour,3,512,True,False,True,False,False,50,0.05,sage
0.8117,43,deeptour,3,512,True,False,True,False,False,50,0.05,gat
0.80944,35,deeptour,3,512,True,False,True,False,False,50,0.05,gat
0.81639,46,deeptour,3,512,True,False,True,False,False,50,0.05,gat
0.81284,40,deeptour,3,512,True,False,True,False,False,50,0.05,gcn
0.80866,43,deeptour,3,512,True,False,True,False,False,200,0.1,gcn
0.80595,42,deeptour,3,512,True,False,True,False,False,200,0.1,gcn
0.81423,31,deeptour,3,512,True,False,True,False,False,200,0.1,gcn
0.81294,50,deeptour,3,512,True,False,True,False,False,200,0.1,gcn
